label,base_model_label,short_label,mode,params_b,question_id,human_quality_score,answer_acceptance,primary_failure_tag,secondary_failure_tag,blocking_reasons,human_judge_notes
Qwen3.5 0.8B (agentic),Qwen3.5 0.8B,Qwen 0.8B,agentic,0.8,s30_002,0.375,0.0,unsupported_claim,missing_key_condition,acceptance_0; quality_below_0.50,"Misstates consequences and omits SAVE, results, and fee details."
Qwen3.5 0.8B (agentic),Qwen3.5 0.8B,Qwen 0.8B,agentic,0.8,s30_006,0.125,0.0,unsupported_claim,retrieval_miss,acceptance_0; quality_below_0.50,Focuses on Healthcare Office sick-leave proof instead of leave and return procedures.
Qwen3.5 0.8B (agentic),Qwen3.5 0.8B,Qwen 0.8B,agentic,0.8,s30_007,0.375,1.0,unsupported_claim,citation_mismatch,quality_below_0.50,Claims 24-hour free hotline support and mismatches several citations.
Qwen3.5 0.8B (agentic),Qwen3.5 0.8B,Qwen 0.8B,agentic,0.8,s30_017,0.375,1.0,language_or_format_failure,missing_key_condition,quality_below_0.50,Includes internal agent text and omits Autumn grading.
Qwen3.5 0.8B (agentic),Qwen3.5 0.8B,Qwen 0.8B,agentic,0.8,s30_019,0.25,1.0,verbose_low_quality,citation_mismatch,quality_below_0.50,Contains the key answer but is an unusably long evidence dump with invalid citation numbers.
Qwen3.5 0.8B (agentic),Qwen3.5 0.8B,Qwen 0.8B,agentic,0.8,s30_023,0.0,0.0,unsupported_claim,verbose_low_quality,acceptance_0; quality_below_0.50,Misidentifies ELA as the mandatory course and is a copied evidence dump.
Qwen3.5 0.8B (agentic),Qwen3.5 0.8B,Qwen 0.8B,agentic,0.8,s30_024,0.0,0.0,unsupported_claim,verbose_low_quality,acceptance_0; quality_below_0.50; repetitive_or_truncated,"Misstates credits, lists irrelevant pages, and ends with repetitive admissions advice."
Qwen3.5 0.8B (agentic),Qwen3.5 0.8B,Qwen 0.8B,agentic,0.8,s30_025,0.375,1.0,unsupported_claim,over_answering,quality_below_0.50,Starts with an unsupported yes and adds irrelevant Q&A material despite correct warnings.
Qwen3.5 0.8B (agentic),Qwen3.5 0.8B,Qwen 0.8B,agentic,0.8,s30_026,0.625,1.0,verbose_low_quality,over_answering,repetitive_or_truncated,"Contradictory and repetitive, though it includes the senior-thesis AI rule."
Qwen3.5 0.8B (agentic),Qwen3.5 0.8B,Qwen 0.8B,agentic,0.8,s30_027,0.125,0.0,unsupported_claim,language_or_format_failure,acceptance_0; quality_below_0.50,"Contradicts itself, mixes languages, and adds irrelevant Net ID and accommodation claims."
Qwen3.5 0.8B (agentic),Qwen3.5 0.8B,Qwen 0.8B,agentic,0.8,s30_028,0.25,0.0,unsupported_claim,citation_mismatch,acceptance_0; quality_below_0.50,Names a course taught by another instructor and contradicts itself.
Qwen3.5 0.8B (single-shot),Qwen3.5 0.8B,Qwen 0.8B,single_shot,0.8,s30_001,0.375,1.0,missing_key_condition,citation_mismatch,quality_below_0.50,Misses in-class reassessment and lacks usable citations.
Qwen3.5 0.8B (single-shot),Qwen3.5 0.8B,Qwen 0.8B,single_shot,0.8,s30_003,0.375,1.0,missing_key_condition,citation_mismatch,quality_below_0.50,Partly covers withdrawal but lacks citations and key registration-change framing.
Qwen3.5 0.8B (single-shot),Qwen3.5 0.8B,Qwen 0.8B,single_shot,0.8,s30_006,0.125,0.0,unsupported_claim,retrieval_miss,acceptance_0; quality_below_0.50,Answers about short-term illness absences rather than leave and return procedures.
Qwen3.5 0.8B (single-shot),Qwen3.5 0.8B,Qwen 0.8B,single_shot,0.8,s30_010,0.375,1.0,unsupported_claim,verbose_low_quality,quality_below_0.50,Includes dubious language-credit requirements and misses official sources.
Qwen3.5 0.8B (single-shot),Qwen3.5 0.8B,Qwen 0.8B,single_shot,0.8,s30_014,0.5,1.0,verbose_low_quality,missing_key_condition,repetitive_or_truncated,"Contains key info but is repetitive, truncated, and hard to use."
Qwen3.5 0.8B (single-shot),Qwen3.5 0.8B,Qwen 0.8B,single_shot,0.8,s30_017,0.375,1.0,unsupported_claim,citation_mismatch,quality_below_0.50,Misstates the exam share and ignores the Autumn section.
Qwen3.5 0.8B (single-shot),Qwen3.5 0.8B,Qwen 0.8B,single_shot,0.8,s30_019,0.75,2.0,verbose_low_quality,none,repetitive_or_truncated,Contains the key answer but is overly long and repetitive.
Qwen3.5 0.8B (single-shot),Qwen3.5 0.8B,Qwen 0.8B,single_shot,0.8,s30_021,0.5,0.0,unsupported_claim,over_answering,acceptance_0,Incorrectly declares all retrieved course syllabi mandatory.
Qwen3.5 0.8B (single-shot),Qwen3.5 0.8B,Qwen 0.8B,single_shot,0.8,s30_022,0.375,0.0,unsupported_claim,over_answering,acceptance_0; quality_below_0.50,Hallucinates Global Governance as mandatory.
Qwen3.5 0.8B (single-shot),Qwen3.5 0.8B,Qwen 0.8B,single_shot,0.8,s30_024,0.25,0.0,unsupported_claim,language_or_format_failure,acceptance_0; quality_below_0.50,Misstates credits and official pages while answering in English to a Chinese question.
Qwen3.5 2B (agentic),Qwen3.5 2B,Qwen 2B,agentic,2.0,s30_006,0.625,0.0,evidence_insufficient,missing_key_condition,acceptance_0,States no information and gives no usable return guidance.
Qwen3.5 2B (agentic),Qwen3.5 2B,Qwen 2B,agentic,2.0,s30_010,0.375,1.0,unsupported_claim,citation_mismatch,quality_below_0.50,Hallucinates program levels or links and has weak end-loaded citations.
Qwen3.5 2B (agentic),Qwen3.5 2B,Qwen 2B,agentic,2.0,s30_011,0.375,0.0,unsupported_claim,over_answering,acceptance_0; quality_below_0.50,Incorrectly says both are academic events.
Qwen3.5 2B (agentic),Qwen3.5 2B,Qwen 2B,agentic,2.0,s30_022,0.375,0.0,unsupported_claim,missing_key_condition,acceptance_0; quality_below_0.50,Gives incorrect entry-year language requirements instead of the required course.
Gemma 4 E2B (agentic),Gemma 4 E2B,Gemma E2B,agentic,2.0,s30_022,0.375,0.0,unsupported_claim,missing_key_condition,acceptance_0; quality_below_0.50,Focuses on wrong or reversed language-program claims.
Qwen3.5 2B (agentic),Qwen3.5 2B,Qwen 2B,agentic,2.0,s30_025,0.5,1.0,verbose_low_quality,missing_key_condition,repetitive_or_truncated,"Mentions citation duties but is repetitive, truncated, and misses key AI-policy details."
Qwen3.5 2B (agentic),Qwen3.5 2B,Qwen 2B,agentic,2.0,s30_028,0.375,0.0,unsupported_claim,missing_key_condition,acceptance_0; quality_below_0.50,Names an irrelevant course instead of the Kaburagi courses in the evidence.
Gemma 4 E2B (single-shot),Gemma 4 E2B,Gemma E2B,single_shot,2.0,s30_006,0.375,0.0,unsupported_claim,retrieval_miss,acceptance_0; quality_below_0.50,Misdirects to faculty sick-leave documentation rather than the EAG procedure.
Qwen3.5 2B (single-shot),Qwen3.5 2B,Qwen 2B,single_shot,2.0,s30_007,0.5,0.0,missing_key_condition,evidence_insufficient,acceptance_0,Incorrectly says the evidence lacks service information.
Qwen3.5 2B (single-shot),Qwen3.5 2B,Qwen 2B,single_shot,2.0,s30_012,0.25,0.0,unsupported_claim,missing_key_condition,acceptance_0; quality_below_0.50,Confuses standard registration with late registration and says details are absent.
Qwen3.5 2B (single-shot),Qwen3.5 2B,Qwen 2B,single_shot,2.0,s30_022,0.625,0.0,missing_key_condition,evidence_insufficient,acceptance_0,Fails to identify Introduction to Christianity.
Gemma 4 E2B (single-shot),Gemma 4 E2B,Gemma E2B,single_shot,2.0,s30_022,0.5,0.0,missing_key_condition,evidence_insufficient,acceptance_0,Fails to identify the mandatory course and has no citations.
Gemma 4 E4B (agentic),Gemma 4 E4B,Gemma E4B,agentic,4.0,s30_003,0.375,1.0,over_answering,unsupported_claim,quality_below_0.50,Focuses on university withdrawal and gives confusing term dates.
Qwen3.5 4B (agentic),Qwen3.5 4B,Qwen 4B,agentic,4.0,s30_007,0.375,1.0,over_answering,citation_mismatch,quality_below_0.50,Claims explicit anonymous or privacy support without citations.
Qwen3.5 4B (agentic),Qwen3.5 4B,Qwen 4B,agentic,4.0,s30_010,0.375,1.0,citation_mismatch,missing_key_condition,quality_below_0.50,Useful but lacks evidence citations and omits first-class reassessment.
Qwen3.5 4B (agentic),Qwen3.5 4B,Qwen 4B,agentic,4.0,s30_011,0.5,0.0,unsupported_claim,over_answering,acceptance_0,Incorrectly says both are academic events.
Qwen3.5 4B (agentic),Qwen3.5 4B,Qwen 4B,agentic,4.0,s30_028,0.375,0.0,unsupported_claim,language_or_format_failure,acceptance_0; quality_below_0.50,Misreads the name and incorrectly says no course can be identified.
Qwen3.5 4B (single-shot),Qwen3.5 4B,Qwen 4B,single_shot,4.0,s30_020,0.625,2.0,citation_mismatch,verbose_low_quality,repetitive_or_truncated,Mostly correct but lacks usable citations and has raw or truncated links.
Qwen3.5 9B (single-shot),Qwen3.5 9B,Qwen 9B,single_shot,9.0,s30_022,0.5,0.0,missing_key_condition,evidence_insufficient,acceptance_0,Fails to provide the mandatory course and lacks citations.
